,id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15,coordinates,bedrooms_bathrooms,sqft_lot_sqft_living,sqft_living_sqft_living15,sqft_living_bedrooms,grade_category
4383,3523089019,4,3.5,3370,435600,2.0,Average,9,3370,0.0,2005,0.0,2790,114868,"[47.4398, -121.738]",1.1428571428571428,129.25816023738872,1.2078853046594982,842.5,medium
700,9349900105,2,1.0,1380,5000,1.5,Average,5,1380,0.0,1905,0.0,1500,5000,"[47.5708, -122.359]",2.0,3.6231884057971016,0.92,690.0,low
15917,9550201495,3,1.75,2120,5000,2.0,Average,7,1980,140.0,1920,2010.0,2020,5000,"[47.6666, -122.331]",1.7142857142857142,2.358490566037736,1.0495049504950495,706.6666666666666,medium
20047,3449000300,4,1.5,2020,7560,1.0,Good,7,2020,0.0,1960,0.0,1410,8080,"[47.502, -122.146]",2.6666666666666665,3.742574257425743,1.4326241134751774,505.0,medium
17713,1026069095,3,2.5,3200,203425,1.0,Average,10,3200,0.0,2000,0.0,3200,203425,"[47.7614, -122.015]",1.2,63.5703125,1.0,1066.6666666666667,high
3693,475001295,3,1.5,1840,5000,1.5,Very Good,7,1340,500.0,1915,0.0,1840,5000,"[47.6652, -122.362]",2.0,2.717391304347826,1.0,613.3333333333334,medium
4029,7129302235,3,1.75,2080,6554,1.0,Average,7,1040,1040.0,1950,0.0,1230,5650,"[47.5135, -122.257]",1.7142857142857142,3.1509615384615386,1.6910569105691058,693.3333333333334,medium
6934,2571900380,3,2.0,1610,8400,1.0,Average,8,1610,0.0,1990,0.0,1930,8459,"[47.1958, -122.009]",1.5,5.217391304347826,0.8341968911917098,536.6666666666666,medium
3995,1726069202,3,1.75,1060,38644,1.0,Average,7,1060,0.0,1983,0.0,1310,11416,"[47.7442, -122.072]",1.7142857142857142,36.4566037735849,0.8091603053435115,353.3333333333333,medium
18137,4037000065,3,1.5,1320,8000,1.0,Average,7,1320,0.0,1957,0.0,1720,8100,"[47.6027, -122.122]",2.0,6.0606060606060606,0.7674418604651163,440.0,medium
1314,203600140,3,2.75,2150,31238,2.0,Average,9,2150,0.0,1996,0.0,2650,38307,"[47.6596, -121.96]",1.0909090909090908,14.529302325581396,0.8113207547169812,716.6666666666666,medium
18167,3291800120,3,1.0,970,7854,1.0,Good,7,970,0.0,1980,0.0,1480,7800,"[47.4899, -122.185]",3.0,8.096907216494845,0.6554054054054054,323.3333333333333,medium
764,2972300060,3,2.75,2390,7939,1.0,Very Good,7,1610,780.0,1983,0.0,1920,7939,"[47.4987, -122.166]",1.0909090909090908,3.321757322175732,1.2447916666666667,796.6666666666666,medium
9995,3353402400,2,1.0,840,6480,1.0,Good,5,840,0.0,1954,0.0,1100,7300,"[47.264, -122.258]",2.0,7.714285714285714,0.7636363636363637,420.0,low
4342,1112000031,3,2.25,1990,4977,3.0,Average,9,1990,0.0,2012,0.0,1280,5000,"[47.5404, -122.268]",1.3333333333333333,2.501005025125628,1.5546875,663.3333333333334,medium
12843,428100580,3,1.75,1970,10800,1.0,Good,7,1300,670.0,1979,0.0,1970,8768,"[47.5107, -122.172]",1.7142857142857142,5.482233502538071,1.0,656.6666666666666,medium
10927,2877101821,3,1.0,1220,3400,1.0,Average,7,1060,160.0,1927,0.0,1350,3750,"[47.6775, -122.363]",3.0,2.7868852459016393,0.9037037037037037,406.6666666666667,medium
13190,624110610,4,3.25,3740,12080,1.0,Average,10,2000,1740.0,1988,0.0,4210,15277,"[47.7214, -122.056]",1.2307692307692308,3.229946524064171,0.8883610451306413,935.0,high
15932,7696630170,4,2.5,2068,7242,2.0,Good,7,2068,0.0,1976,0.0,1560,7524,"[47.3318, -122.281]",1.6,3.501934235976789,1.3256410256410256,517.0,medium
18568,9238900850,3,1.5,1760,4880,1.5,Average,8,1290,470.0,1928,0.0,1840,4998,"[47.5334, -122.388]",2.0,2.772727272727273,0.9565217391304348,586.6666666666666,medium
16319,8073000480,2,1.75,1900,13122,1.0,Average,7,1100,800.0,1954,0.0,1650,13160,"[47.5121, -122.248]",1.1428571428571428,6.906315789473684,1.1515151515151516,950.0,medium
38,7895500070,4,1.0,1220,8075,1.0,Fair,7,890,330.0,1969,0.0,1290,7800,"[47.3341, -122.282]",4.0,6.618852459016393,0.9457364341085271,305.0,medium
3613,8965450110,3,2.5,3300,11570,2.0,Average,9,3300,0.0,1994,0.0,3280,11446,"[47.5599, -122.121]",1.2,3.506060606060606,1.0060975609756098,1100.0,medium
1455,1596600060,1,1.0,660,2600,1.0,Average,6,660,0.0,1919,0.0,1560,5445,"[47.5723, -122.304]",1.0,3.9393939393939394,0.4230769230769231,660.0,low
7403,1591600307,3,1.75,1810,7200,1.0,Very Good,7,1030,780.0,1959,0.0,1950,8384,"[47.4993, -122.364]",1.7142857142857142,3.977900552486188,0.9282051282051282,603.3333333333334,medium
15570,7129303180,3,2.0,1290,6150,1.0,Very Good,6,1290,0.0,1950,0.0,1960,6150,"[47.5181, -122.257]",1.5,4.767441860465116,0.6581632653061225,430.0,low
11131,2525300200,3,1.0,1160,10384,1.0,Good,6,1160,0.0,1969,0.0,1200,9880,"[47.3634, -122.027]",3.0,8.951724137931034,0.9666666666666667,386.6666666666667,low
5274,7663700759,3,1.5,1560,7884,1.0,Average,7,1060,500.0,1969,0.0,1820,9000,"[47.7312, -122.298]",2.0,5.053846153846154,0.8571428571428571,520.0,medium
2894,5451200600,5,3.25,3160,13238,2.0,Very Good,8,3160,0.0,1972,0.0,2360,12042,"[47.5373, -122.224]",1.5384615384615385,4.189240506329114,1.3389830508474576,632.0,medium
5046,3444910020,3,3.0,3200,35782,1.0,Average,8,2360,840.0,1978,0.0,3090,37887,"[47.4121, -122.154]",1.0,11.181875,1.035598705501618,1066.6666666666667,medium
12315,4140100200,3,2.25,3010,9600,2.0,Average,8,2410,600.0,1978,0.0,2620,9660,"[47.7671, -122.263]",1.3333333333333333,3.1893687707641196,1.1488549618320612,1003.3333333333334,medium
17163,1336800185,3,2.75,2500,5568,2.0,Very Good,9,2500,0.0,1905,0.0,2810,5568,"[47.6258, -122.312]",1.0909090909090908,2.2272,0.8896797153024911,833.3333333333334,medium
12131,3211240370,4,2.25,2690,36114,2.0,Good,9,2690,0.0,1986,0.0,2570,35091,"[47.3106, -122.116]",1.7777777777777777,13.425278810408923,1.046692607003891,672.5,medium
15837,7889600190,3,1.0,1590,6240,1.0,Average,7,1060,530.0,1956,0.0,1410,6240,"[47.4936, -122.337]",3.0,3.9245283018867925,1.127659574468085,530.0,medium
8637,6133100120,3,2.5,2460,10300,1.0,Average,10,2460,0.0,1992,0.0,2410,5250,"[47.6999, -122.391]",1.2,4.186991869918699,1.020746887966805,820.0,high
8188,2526069095,4,4.25,5660,193593,2.0,Average,10,4100,1560.0,2001,0.0,3620,207141,"[47.7064, -121.981]",0.9411764705882353,34.203710247349825,1.5635359116022098,1415.0,high
1053,5309101200,4,2.25,2400,5350,1.5,Good,7,1460,940.0,1929,0.0,1250,4880,"[47.6763, -122.37]",1.7777777777777777,2.2291666666666665,1.92,600.0,medium
9002,5700000975,5,1.75,2510,6000,1.5,Very Good,8,2010,500.0,1920,0.0,2240,5000,"[47.5798, -122.292]",2.857142857142857,2.3904382470119523,1.1205357142857142,502.0,medium
7654,4322500110,3,1.75,2160,5760,1.0,Good,8,1260,900.0,1954,0.0,2090,5760,"[47.5346, -122.391]",1.7142857142857142,2.6666666666666665,1.0334928229665072,720.0,medium
11816,6061400160,4,2.25,1790,9920,1.0,Good,7,1170,620.0,1969,0.0,1990,9648,"[47.5126, -122.149]",1.7777777777777777,5.5418994413407825,0.8994974874371859,447.5,medium
13724,4305500180,4,3.0,3220,6224,1.5,Average,9,3220,0.0,2009,0.0,2950,6224,"[47.4813, -122.129]",1.3333333333333333,1.932919254658385,1.0915254237288134,805.0,medium
16289,1077100020,3,1.5,1520,8519,1.0,Average,7,1520,0.0,1954,0.0,1570,9000,"[47.7712, -122.339]",2.0,5.604605263157895,0.9681528662420382,506.6666666666667,medium
11936,4206901200,4,1.5,2220,4000,1.5,Average,8,1970,250.0,1925,0.0,1984,4000,"[47.6564, -122.325]",2.6666666666666665,1.8018018018018018,1.1189516129032258,555.0,medium
6301,2524049056,3,3.25,3330,15093,2.5,Average,9,3330,0.0,1988,0.0,4340,20031,"[47.5395, -122.242]",0.9230769230769231,4.532432432432432,0.7672811059907834,1110.0,medium
9835,5469501200,3,2.25,2360,14950,1.0,Good,9,2360,0.0,1978,0.0,2720,14388,"[47.3856, -122.158]",1.3333333333333333,6.334745762711864,0.8676470588235294,786.6666666666666,medium
8066,8661000148,3,2.0,1510,10215,1.0,Good,7,1510,0.0,1995,0.0,1370,8902,"[47.2078, -122.003]",1.5,6.764900662251655,1.102189781021898,503.3333333333333,medium
2807,2591760070,3,2.5,2190,4882,2.0,Average,9,2190,0.0,1999,0.0,2190,7055,"[47.7641, -122.306]",1.2,2.2292237442922374,1.0,730.0,medium
15750,4219401236,3,1.75,3400,8965,1.0,Very Good,9,1820,1580.0,1957,0.0,3200,8500,"[47.6569, -122.273]",1.7142857142857142,2.636764705882353,1.0625,1133.3333333333333,medium
17139,4027700006,4,2.5,2670,20894,2.0,Average,9,2330,340.0,2002,0.0,2440,15815,"[47.7735, -122.281]",1.6,7.825468164794008,1.0942622950819672,667.5,medium
9192,6802210450,3,2.25,1570,9096,1.0,Good,7,1180,390.0,1991,0.0,1570,8418,"[47.1937, -121.99]",1.3333333333333333,5.793630573248407,1.0,523.3333333333334,medium
15762,5528600050,2,1.0,1200,12856,1.0,Good,6,1200,0.0,1948,0.0,1740,6098,"[47.5321, -122.034]",2.0,10.713333333333333,0.6896551724137931,600.0,low
12238,2130200160,3,2.0,1350,11805,1.0,Average,7,1350,0.0,1986,0.0,1350,14200,"[47.7313, -121.971]",1.5,8.744444444444444,1.0,450.0,medium
304,4330600350,3,2.25,2200,8750,1.0,Good,7,1120,1080.0,1964,0.0,1460,10139,"[47.476000000000006, -122.337]",1.3333333333333333,3.977272727272727,1.5068493150684932,733.3333333333334,medium
13709,4039700870,5,1.75,2870,9680,1.0,Very Good,9,1440,1430.0,1966,0.0,2940,9729,"[47.6122, -122.111]",2.857142857142857,3.3728222996515678,0.9761904761904762,574.0,medium
10201,2887701420,2,1.0,850,2850,1.0,Good,7,850,0.0,1927,0.0,1450,4015,"[47.6875, -122.309]",2.0,3.3529411764705883,0.5862068965517241,425.0,medium
13022,8658303265,3,1.0,1260,5000,1.0,Good,6,1260,0.0,1968,0.0,1180,7500,"[47.6492, -121.915]",3.0,3.9682539682539684,1.0677966101694916,420.0,low
18196,6700390090,3,2.5,1720,3676,2.0,Average,7,1720,0.0,1992,0.0,1720,3510,"[47.4039, -122.188]",1.2,2.1372093023255814,1.0,573.3333333333334,medium
16162,6117502455,3,1.0,1190,9486,1.0,Good,7,1190,0.0,1953,0.0,2100,10400,"[47.4319, -122.339]",3.0,7.9714285714285715,0.5666666666666667,396.6666666666667,medium
7020,3426049132,3,2.0,1200,7320,1.0,Average,7,1200,0.0,1955,0.0,1750,8220,"[47.6986, -122.286]",1.5,6.1,0.6857142857142857,400.0,medium
8642,8802400411,3,1.0,1050,8498,1.0,Good,7,1050,0.0,1959,0.0,1050,8498,"[47.4043, -122.202]",3.0,8.093333333333334,1.0,350.0,medium
14127,6149700191,2,2.0,1520,1020,3.0,Average,7,1520,0.0,1999,0.0,1500,1245,"[47.7292, -122.343]",1.0,0.6710526315789473,1.0133333333333334,760.0,medium
252,1422300030,3,2.25,1510,36224,2.0,Average,8,1510,0.0,1991,0.0,1730,36224,"[47.4616, -121.711]",1.3333333333333333,23.989403973509933,0.8728323699421965,503.3333333333333,medium
5082,3826000470,2,1.0,960,8100,1.0,Average,6,810,150.0,1936,0.0,960,12150,"[47.494, -122.304]",2.0,8.4375,1.0,480.0,low
511,5126310400,4,2.5,2600,7787,2.0,Average,8,2600,0.0,2005,0.0,2830,7787,"[47.4877, -122.139]",1.6,2.995,0.9187279151943463,650.0,medium
9085,1223089081,3,1.75,1510,44000,1.0,Average,7,1240,270.0,1989,0.0,2290,36242,"[47.4851, -121.716]",1.7142857142857142,29.13907284768212,0.6593886462882096,503.3333333333333,medium
16491,4037000185,4,1.75,2060,7900,1.0,Good,7,1070,990.0,1957,0.0,1830,8000,"[47.6028, -122.12]",2.2857142857142856,3.8349514563106797,1.1256830601092895,515.0,medium
18805,3331500455,3,2.25,1850,2575,2.0,Average,9,1850,0.0,2013,0.0,1080,4120,"[47.5525, -122.273]",1.3333333333333333,1.3918918918918919,1.712962962962963,616.6666666666666,medium
8100,1683900040,3,2.25,1440,5150,2.0,Average,7,1440,0.0,1997,0.0,1530,5238,"[47.5456, -122.356]",1.3333333333333333,3.576388888888889,0.9411764705882353,480.0,medium
19500,3649100015,3,2.25,1820,15000,1.0,Average,7,1480,340.0,1978,0.0,1930,13600,"[47.7401, -122.249]",1.3333333333333333,8.241758241758241,0.9430051813471503,606.6666666666666,medium
20865,3052700385,4,2.25,2030,2222,2.0,Average,9,1610,420.0,2015,0.0,1420,2222,"[47.679, -122.375]",1.7777777777777777,1.0945812807881774,1.4295774647887325,507.5,medium
13958,3996900555,4,2.0,1780,8149,1.5,Good,7,1780,0.0,1948,0.0,1180,8149,"[47.745, -122.302]",2.0,4.578089887640449,1.5084745762711864,445.0,medium
20001,1025039168,1,0.75,740,1284,1.0,Good,6,740,0.0,1928,0.0,1430,3988,"[47.6741, -122.406]",1.3333333333333333,1.7351351351351352,0.5174825174825175,740.0,low
14194,6300500183,4,2.0,1780,5043,1.0,Average,7,870,910.0,1993,0.0,1350,5044,"[47.7045, -122.342]",2.0,2.8331460674157305,1.3185185185185184,445.0,medium
9555,5595900355,3,1.5,1500,10227,1.0,Good,7,1000,500.0,1945,0.0,1490,7670,"[47.2043, -121.996]",2.0,6.818,1.0067114093959733,500.0,medium
8948,3121500150,4,2.5,3800,22029,2.0,Average,9,3800,0.0,1993,0.0,3170,24979,"[47.6734, -122.026]",1.6,5.797105263157895,1.1987381703470033,950.0,medium
750,3432500200,3,1.0,1150,6908,1.0,Average,6,800,350.0,1952,0.0,1150,6908,"[47.7447, -122.313]",3.0,6.006956521739131,1.0,383.3333333333333,low
14603,9485700175,2,1.0,860,12160,1.0,Good,6,860,0.0,1921,0.0,1010,7611,"[47.5267, -122.361]",2.0,14.13953488372093,0.8514851485148515,430.0,low
2348,3298201170,3,1.0,940,7811,1.0,Average,6,940,0.0,1959,0.0,1180,7490,"[47.6195, -122.118]",3.0,8.309574468085106,0.7966101694915254,313.3333333333333,low
6074,3630030290,4,2.5,2310,3866,2.0,Average,8,2310,0.0,2005,0.0,1950,4023,"[47.5498, -121.996]",1.6,1.6735930735930735,1.1846153846153846,577.5,medium
19534,2771604370,3,1.75,1300,4000,1.0,Average,7,900,400.0,1953,0.0,1750,4000,"[47.6368, -122.388]",1.7142857142857142,3.076923076923077,0.7428571428571429,433.3333333333333,medium
742,826069046,3,2.0,2100,72745,1.0,Good,9,2100,0.0,1995,0.0,2290,54885,"[47.7479, -122.062]",1.5,34.64047619047619,0.9170305676855895,700.0,medium
20910,6852700097,3,3.25,1610,1275,2.0,Average,8,1220,390.0,2005,0.0,1750,3000,"[47.6236, -122.318]",0.9230769230769231,0.7919254658385093,0.92,536.6666666666666,medium
176,3881900445,5,2.75,1970,5400,1.0,Average,7,1320,650.0,1986,0.0,1280,2150,"[47.5868, -122.308]",1.8181818181818181,2.7411167512690353,1.5390625,394.0,medium
13244,9253900210,3,2.5,3870,46609,2.0,Average,9,3870,0.0,1997,0.0,4030,17880,"[47.5966, -122.112]",1.2,12.043669250645994,0.9602977667493796,1290.0,medium
9712,2568300045,6,2.0,1900,8240,1.0,Fair,7,1200,700.0,1964,0.0,1900,8240,"[47.7037, -122.296]",3.0,4.336842105263158,1.0,316.6666666666667,medium
10823,217500140,5,2.5,3400,8970,1.0,Good,8,1700,1700.0,1959,0.0,1890,8475,"[47.7358, -122.335]",2.0,2.638235294117647,1.7989417989417988,680.0,medium
18266,9533100145,3,1.0,1120,8549,1.0,Average,7,1120,0.0,1952,0.0,1440,8640,"[47.6294, -122.205]",3.0,7.633035714285715,0.7777777777777778,373.3333333333333,medium
17624,1853080540,5,2.75,3460,7977,2.0,Average,9,3460,0.0,2011,0.0,3390,6630,"[47.5908, -122.062]",1.8181818181818181,2.3054913294797688,1.0206489675516224,692.0,medium
21057,3448900290,4,2.5,2840,6284,2.0,Average,9,2840,0.0,2013,0.0,2790,7168,"[47.5135, -122.169]",1.6,2.212676056338028,1.017921146953405,710.0,medium
12477,1982201255,2,1.0,810,3880,1.0,Average,7,810,0.0,1952,0.0,900,4365,"[47.6631, -122.365]",2.0,4.790123456790123,0.9,405.0,medium
4807,9831200500,5,3.75,6810,7500,2.5,Average,13,6110,700.0,1922,0.0,2660,7500,"[47.6285, -122.322]",1.3333333333333333,1.1013215859030836,2.5601503759398496,1362.0,high
18292,2472920740,4,2.5,2880,7386,2.0,Good,9,2880,0.0,1987,0.0,2420,7663,"[47.4397, -122.15]",1.6,2.564583333333333,1.1900826446280992,720.0,medium
2390,798000342,3,2.5,1830,12750,2.0,Average,7,1830,0.0,1991,0.0,1610,10000,"[47.5003, -122.328]",1.2,6.967213114754099,1.1366459627329193,610.0,medium
18798,1437910090,4,2.5,2410,6440,1.0,Average,8,1550,860.0,1974,0.0,2330,6938,"[47.7153, -122.191]",1.6,2.672199170124481,1.0343347639484979,602.5,medium
7317,3374500250,4,2.5,2680,7700,2.0,Good,8,2680,0.0,1990,0.0,2400,7700,"[47.4094, -122.17]",1.6,2.873134328358209,1.1166666666666667,670.0,medium
16548,3874400380,3,2.5,1740,22089,1.0,Good,8,1130,610.0,1977,0.0,2000,24925,"[47.3948, -122.435]",1.2,12.694827586206896,0.87,580.0,medium
6674,4046400010,3,2.25,1880,10880,1.0,Average,8,1480,400.0,1975,0.0,2120,10240,"[47.5937, -122.116]",1.3333333333333333,5.787234042553192,0.8867924528301887,626.6666666666666,medium
7682,7522700110,3,1.0,1490,7435,1.0,Average,7,1120,370.0,1969,0.0,1490,7530,"[47.368, -122.314]",3.0,4.989932885906041,1.0,496.6666666666667,medium
381,624111000,3,3.0,4040,14338,2.0,Average,10,3030,1010.0,1986,0.0,3360,14142,"[47.7268, -122.06]",1.0,3.549009900990099,1.2023809523809523,1346.6666666666667,high
16799,7772000010,4,2.0,1970,7451,1.0,Average,8,1350,620.0,1962,0.0,1980,7510,"[47.765, -122.335]",2.0,3.782233502538071,0.9949494949494949,492.5,medium
5297,1099900020,5,2.75,2530,7601,1.0,Average,7,1520,1010.0,1992,0.0,2400,7776,"[47.4683, -122.263]",1.8181818181818181,3.0043478260869567,1.0541666666666667,506.0,medium
5268,4204400098,5,1.75,2190,8250,1.0,Average,7,1190,1000.0,1963,0.0,2570,8250,"[47.4887, -122.223]",2.857142857142857,3.767123287671233,0.8521400778210116,438.0,medium
14233,4099100210,3,2.5,1900,3366,2.0,Average,9,1900,0.0,1996,0.0,2500,3954,"[47.6679, -122.184]",1.2,1.7715789473684211,0.76,633.3333333333334,medium
21293,6056110460,2,2.5,1640,1953,2.0,Average,10,1640,0.0,2014,0.0,1820,2653,"[47.5639, -122.292]",0.8,1.1908536585365854,0.9010989010989011,820.0,high
7615,7818700410,3,1.75,2140,6000,1.0,Average,7,1070,1070.0,1948,0.0,1240,4650,"[47.6913, -122.366]",1.7142857142857142,2.803738317757009,1.7258064516129032,713.3333333333334,medium
7198,5101407250,4,2.25,2900,9680,2.0,Average,7,1990,910.0,1947,0.0,1850,7540,"[47.7037, -122.308]",1.7777777777777777,3.3379310344827586,1.5675675675675675,725.0,medium
13587,1081300450,4,2.5,2080,11050,1.0,Good,8,2080,0.0,1969,0.0,1850,11050,"[47.472, -122.119]",1.6,5.3125,1.1243243243243244,520.0,medium
662,1062100116,3,2.5,1640,5097,2.0,Average,7,1640,0.0,1969,0.0,1880,6000,"[47.7522, -122.278]",1.2,3.1079268292682927,0.8723404255319149,546.6666666666666,medium
21368,6372000297,3,3.5,1660,2298,2.0,Average,8,1260,400.0,2009,0.0,1500,2198,"[47.5809, -122.403]",0.8571428571428571,1.3843373493975903,1.1066666666666667,553.3333333333334,medium
6134,8965500020,3,2.5,2110,9773,1.0,Average,9,2110,0.0,1986,0.0,2560,11787,"[47.5628, -122.115]",1.2,4.63175355450237,0.82421875,703.3333333333334,medium
19370,2420069042,3,2.0,1553,6550,1.0,Average,7,1553,0.0,1900,0.0,1010,10546,"[47.2056, -121.994]",1.5,4.217643271088217,1.5376237623762377,517.6666666666666,medium
19734,9358001422,3,2.5,1090,1139,2.0,Average,8,960,130.0,2009,0.0,1400,1348,"[47.5664, -122.369]",1.2,1.044954128440367,0.7785714285714286,363.3333333333333,medium
3467,2122059206,5,2.5,3001,5710,2.0,Average,8,3001,0.0,2006,0.0,2340,5980,"[47.3727, -122.177]",2.0,1.9026991002999,1.2824786324786326,600.2,medium
19837,832700270,3,1.5,1240,983,3.0,Average,8,1240,0.0,2009,0.0,1240,1026,"[47.7235, -122.353]",2.0,0.792741935483871,1.0,413.3333333333333,medium
4405,9285800590,3,1.0,1610,4108,1.5,Very Good,7,1610,0.0,1928,0.0,1680,4467,"[47.5704, -122.376]",3.0,2.5515527950310557,0.9583333333333334,536.6666666666666,medium
11408,7202290320,3,2.5,1600,3172,2.0,Average,7,1600,0.0,2002,0.0,1690,3698,"[47.6868, -122.042]",1.2,1.9825,0.9467455621301775,533.3333333333334,medium
6415,1025039145,4,2.0,3140,10875,1.0,Average,7,1940,1200.0,1939,1969.0,3300,10080,"[47.6656, -122.406]",2.0,3.463375796178344,0.9515151515151515,785.0,medium
20386,1023059246,3,2.75,2580,5200,2.0,Average,8,2580,0.0,2008,0.0,2700,5602,"[47.496, -122.151]",1.0909090909090908,2.0155038759689923,0.9555555555555556,860.0,medium
5468,5589300585,3,1.0,1050,9083,1.0,Average,7,1050,0.0,1951,0.0,1440,9071,"[47.7533, -122.307]",3.0,8.65047619047619,0.7291666666666666,350.0,medium
984,9528104108,3,2.5,1360,1016,3.0,Average,7,1310,50.0,2003,0.0,1365,1156,"[47.6774, -122.324]",1.2,0.7470588235294118,0.9963369963369964,453.3333333333333,medium
439,284000223,3,1.75,2120,10875,1.0,Average,8,1540,580.0,1977,0.0,2460,11760,"[47.504, -122.382]",1.7142857142857142,5.129716981132075,0.8617886178861789,706.6666666666666,medium
9845,121039083,3,1.75,1460,12367,2.0,Good,8,1120,340.0,1970,0.0,1970,18893,"[47.3311, -122.375]",1.7142857142857142,8.47054794520548,0.7411167512690355,486.6666666666667,medium
3781,723049156,3,1.0,1700,8645,1.0,Average,6,1700,0.0,1955,0.0,1500,7980,"[47.4899, -122.337]",3.0,5.0852941176470585,1.1333333333333333,566.6666666666666,low
17128,191100235,4,3.5,2790,10125,1.5,Very Good,8,2790,0.0,1985,0.0,2570,10125,"[47.5651, -122.22]",1.1428571428571428,3.629032258064516,1.0856031128404668,697.5,medium
21108,1459920010,3,2.0,1451,7159,1.0,Average,7,1451,0.0,2010,0.0,2303,6126,"[47.3754, -122.163]",1.5,4.933838731909028,0.6300477637863656,483.6666666666667,medium
429,305500140,3,2.5,2200,4052,2.0,Average,8,2200,0.0,2005,0.0,2310,5082,"[47.4362, -122.178]",1.2,1.8418181818181818,0.9523809523809523,733.3333333333334,medium
17777,8712100530,4,2.0,1710,4178,1.5,Good,8,1710,0.0,1926,0.0,1760,4178,"[47.6373, -122.3]",2.0,2.4432748538011695,0.9715909090909091,427.5,medium
10421,3876312010,5,2.75,2040,7488,1.0,Good,7,1200,840.0,1969,0.0,1530,7488,"[47.7289, -122.172]",1.8181818181818181,3.6705882352941175,1.3333333333333333,408.0,medium
19345,6204000040,4,2.75,2490,9714,1.0,Good,8,1400,1090.0,1983,0.0,2060,15300,"[47.7496, -122.201]",1.4545454545454546,3.9012048192771083,1.2087378640776698,622.5,medium
13220,7974200456,5,3.0,2640,5096,2.0,Average,10,2640,0.0,2009,0.0,1610,5217,"[47.6809, -122.288]",1.6666666666666667,1.9303030303030304,1.639751552795031,528.0,high
7877,8856500120,4,2.5,2440,7797,1.0,Average,8,1560,880.0,1965,0.0,2090,8100,"[47.3895, -122.222]",1.6,3.1954918032786885,1.167464114832536,610.0,medium
16092,4385700425,2,2.5,2220,4000,2.0,Average,9,2220,0.0,2000,0.0,1870,4000,"[47.6364, -122.28]",0.8,1.8018018018018018,1.1871657754010696,1110.0,medium
4881,7212651950,4,2.5,2800,9538,2.0,Average,8,2800,0.0,1993,0.0,1970,7750,"[47.2675, -122.307]",1.6,3.4064285714285716,1.4213197969543148,700.0,medium
11121,6064800060,3,2.25,1960,1985,2.0,Average,7,1750,210.0,2003,0.0,1760,1985,"[47.5417, -122.289]",1.3333333333333333,1.0127551020408163,1.1136363636363635,653.3333333333334,medium
5143,7203220130,4,3.5,3695,6556,2.0,Average,9,3695,0.0,2014,0.0,4160,6786,"[47.683, -122.015]",1.1428571428571428,1.7742895805142085,0.8882211538461539,923.75,medium
17127,582000185,3,1.75,1960,5520,1.0,Good,7,1080,880.0,1952,0.0,1720,5760,"[47.6535, -122.397]",1.7142857142857142,2.816326530612245,1.1395348837209303,653.3333333333334,medium
11167,8901001290,4,1.5,1380,7800,1.0,Average,7,1080,300.0,1928,0.0,1770,7503,"[47.7093, -122.306]",2.6666666666666665,5.6521739130434785,0.7796610169491526,345.0,medium
1226,5249800729,6,3.5,3000,6320,2.0,Average,8,2400,600.0,1969,0.0,1720,6360,"[47.562, -122.279]",1.7142857142857142,2.1066666666666665,1.744186046511628,500.0,medium
19703,1438000200,4,3.5,2970,6587,2.0,Average,8,2260,710.0,2014,0.0,2970,5690,"[47.4776, -122.122]",1.1428571428571428,2.2178451178451177,1.0,742.5,medium
10572,191100140,4,2.5,2250,10160,2.0,Very Good,8,2250,0.0,1967,0.0,2660,10125,"[47.5645, -122.219]",1.6,4.515555555555555,0.8458646616541353,562.5,medium
20678,6371000079,4,2.25,2070,1230,3.0,Average,9,1500,570.0,2013,0.0,1569,4802,"[47.5775, -122.41]",1.7777777777777777,0.5942028985507246,1.3193116634799236,517.5,medium
15296,9285800020,3,2.5,2260,4550,1.5,Good,7,1380,880.0,1928,0.0,1870,4582,"[47.5714, -122.376]",1.2,2.0132743362831858,1.2085561497326203,753.3333333333334,medium
6508,1925059049,3,1.0,1175,10454,1.0,Good,6,1175,0.0,1949,0.0,2010,10800,"[47.6388, -122.218]",3.0,8.897021276595744,0.5845771144278606,391.6666666666667,low
19389,5700002165,2,1.0,1840,4322,1.0,Good,7,1160,680.0,1914,0.0,1750,4322,"[47.5764, -122.289]",2.0,2.348913043478261,1.0514285714285714,920.0,medium
903,2460700260,3,2.0,1480,6698,1.0,Good,7,1080,400.0,1979,0.0,1850,7348,"[47.4614, -122.168]",1.5,4.525675675675676,0.8,493.3333333333333,medium
8999,259601010,3,1.0,1250,7200,1.0,Average,7,1250,0.0,1964,0.0,1430,7400,"[47.6342, -122.12]",3.0,5.76,0.8741258741258742,416.6666666666667,medium
7922,4379400220,4,2.5,2930,7806,2.0,Average,9,2930,0.0,2005,0.0,2600,6051,"[47.6219, -122.024]",1.6,2.6641638225255972,1.126923076923077,732.5,medium
6925,1954440080,3,2.5,1830,8022,2.0,Average,8,1830,0.0,1987,0.0,2030,7736,"[47.6198, -122.044]",1.2,4.383606557377049,0.9014778325123153,610.0,medium
6137,2005950050,3,2.0,1630,8018,1.0,Average,7,1630,0.0,2003,0.0,1610,8397,"[47.2638, -122.243]",1.5,4.919018404907975,1.0124223602484472,543.3333333333334,medium
